cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
1,1877,46,342125465.01,"100000000331309100,100000003684369100,100000002224132100,100000003016635100,100000008603629100",Mixed or peripheral activity; requires review
2,6,1,1615030.0,"100000008736940100,100000008659445100,100000008751429100,100000005456919100,100000008193577100",Potential collection/consolidation structure
3,1,1,0.0,100000000456947100,Downstream receiving structure
4,270,1,10178044.0,"100000002578405100,100000002527114100,100000001166289100,100000001697501100,100000008737958100",Downstream receiving structure
5,6,1,1527967.0,"100000000580561100,100000005183943100,100000007930878100,100000000955444100,100000007939160100",Downstream receiving structure
6,13,1,1392916.0,"100000001380054100,100000006232815100,100000003164661100,100000004463277100,100000004192865100",Downstream receiving structure
7,17,1,2977887.0,"100000004007116100,100000002731501100,100000004144536100,100000004160650100,100000004005964100",Downstream receiving structure
8,3,1,450000.0,"100000002371751100,100000000769919100,100000007018630100",Mixed or peripheral activity; requires review
9,4,1,1404980.0,"100000001872484100,100000000785800100,100000008601794100,100000002459163100",Mixed or peripheral activity; requires review
10,4,1,79050.0,"100000001852140100,100000003148220100,100000004971871100,100000006888238100",Mixed or peripheral activity; requires review
11,6,1,275885.0,"100000005485830100,100000005895525100,100000002462183100,100000007175718100,100000005056870100",Downstream receiving structure
12,5,1,2809200.0,"100000004135268100,100000002738256100,100000007507343100,100000008571433100,100000004979498100",Mixed or peripheral activity; requires review
13,2,1,30000.0,"100000003980083100,100000003200071100",Mixed or peripheral activity; requires review
14,1,1,0.0,100000003265658100,Downstream receiving structure
15,1,1,0.0,100000003349739100,Downstream receiving structure
16,1,1,0.0,100000003770083100,Downstream receiving structure
17,2,1,81465.0,"100000003865939100,100000005392290100",Mixed or peripheral activity; requires review
18,1,1,0.0,100000004021459100,Downstream receiving structure
19,6,1,383300.0,"100000004331458100,100000005546031100,100000008575624100,100000004094958100,100000005363908100",Potential collection/consolidation structure
20,1,1,0.0,100000004174835100,Downstream receiving structure
21,3,1,450816.0,"100000005034574100,100000007283257100,100000004388983100",Downstream receiving structure
22,1,1,0.0,100000005017150100,Downstream receiving structure
23,1,1,0.0,100000005087431100,Downstream receiving structure
24,1,1,0.0,100000005235389100,Downstream receiving structure
25,1,1,0.0,100000005480435100,Downstream receiving structure
26,1,1,0.0,100000005495722100,Downstream receiving structure
27,1,1,0.0,100000005550592100,Downstream receiving structure
28,1,1,0.0,100000005560900100,Downstream receiving structure
29,1,1,0.0,100000005568407100,Downstream receiving structure
30,5,2,108007.0,"100000006562026100,100000006249740100,100000007347733100,100000008129393100,100000006831291100",Downstream receiving structure
31,1,1,0.0,100000008117324100,Downstream receiving structure
32,1,1,0.0,100000008205000100,Downstream receiving structure
33,1,1,0.0,100000008513251100,Downstream receiving structure
34,1,1,0.0,100000008669037100,Downstream receiving structure
35,1,1,0.0,100000008701222100,Downstream receiving structure
